Stationcode,Locations,Lat,Lon,Capitalcity,State,Temperature,D.O,pH,Conductivity,B.O.D,Nitrate,Fecalcaliform,Totalcaliform,class,Unnamed: 15
1304,JHELAM AT ANANTNAG D/S,33.731125,75.148701,Jammu,JAMMU & KASHMIR,13.0,8.0,8.0,240,2.0,1.00,,,yes,
1410,"JHELAM AT DALAGATE (INLET), SRINAGAR",34.083671,74.797282,Jammu,JAMMU & KASHMIR,8.0,8.0,7.0,152,5.0,1.00,,,yes,
1411,JHELAM AT CHATTABAL WEIR (OUTLET),34.090375,74.784955,Jammu,JAMMU & KASHMIR,8.0,6.0,8.0,172,5.0,1.00,,,yes,
1491,BHAGIRATHI AT GANGOTRI ,30.994695,78.93984,Dehradun,UTTARAKHAND,5.5,8.5,7.9,95,,0.15,,,yes,
1484,ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG,30.284414,78.981141,Dehradun,UTTARAKHAND,16.6,9.6,8.0,145,,0.08,2500,9300.0,no,
1485,MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG ,30.284414,78.981141,Dehradun,UTTARAKHAND,16.6,8.8,8.0,115,,0.08,1800,25150.0,no,
1486,ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG ,30.284414,78.981141,Dehradun,UTTARAKHAND,17.6,9.3,8.1,150,0.7,0.08,16650,46000.0,no,
1487,ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG,30.145947,78.599293,Dehradun,UTTARAKHAND,18.4,9.1,8.1,141,1.2,0.09,5100,9650.0,no,
1488,BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG,30.145947,78.599293,Dehradun,UTTARAKHAND,18.3,8.6,8.0,135,1.0,0.06,650,3200.0,no,
1489,ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,30.145947,78.599293,Dehradun,UTTARAKHAND,18.4,8.7,8.1,132,0.7,0.08,27650,67000.0,no,
1060,GANGA AT RISHIKESH U/S,30.086928,78.267612,Dehradun,UTTARAKHAND,17.1,9.1,7.7,121,1.7,0.08,,99.0,yes,
2725,A/C R.SONG NR SATYANARAYAN TEMPLE D/S RAIWALA,30.031773,78.209476,Dehradun,UTTARAKHAND,21.9,7.8,7.7,305,4.5,0.08,800,4467.0,yes,
1061,GANGA AT HARIDWAR D/S,29.945691,78.164248,Dehradun,UTTARAKHAND,20.0,6.7,7.6,196,5.6,0.08,1150,50917.0,yes,
2727,UPPER GANGA RIVER D/S ROORKEE,29.854263,77.888,Dehradun,UTTARAKHAND,19.4,8.3,7.8,157,2.5,0.08,8,377.0,yes,
1062,GANGA AT GARHMUKTESHWAR,28.789221,78.082308,Lucknow,UTTAR PRADESH,19.6,8.2,7.4,221,3.4,0.50,1162,2497.0,yes,
2488,"GANGA U/S, ANOOPSHAHAR",28.354086,78.267548,Lucknow,UTTAR PRADESH,18.3,8.4,7.4,196,2.8,0.21,673,1377.0,yes,
2489,"GANGA D/S, ANOOPSHAHAR",28.354086,78.267548,Lucknow,UTTAR PRADESH,18.5,8.3,7.6,230,3.6,0.23,783,1713.0,yes,
1145,GANGA AT NARORA (BULANDSAHAR),28.196777,78.381378,Lucknow,UTTAR PRADESH,19.2,8.7,7.5,189,3.1,0.23,420,850.0,yes,
2490,"AT KACHHLA GHAT, ALIGARH",27.897394,78.088013,Lucknow,UTTAR PRADESH,20.3,8.3,7.4,206,3.7,0.28,840,1743.0,yes,
1063,GANGA AT KANNAUJ U/S (RAJGHAT),27.051416,79.913673,Lucknow,UTTAR PRADESH,25.6,7.9,8.0,327,4.5,2.25,3042,10075.0,yes,
1066,GANGA AT KANNAUJ D/S,27.051416,79.913673,Lucknow,UTTAR PRADESH,25.6,7.8,8.0,324,5.5,2.25,3508,20208.0,no,
1146,GANGA AT BITHOOR (KANPUR),26.605735,80.269765,Lucknow,UTTAR PRADESH,25.6,8.7,8.2,510,4.0,1.70,1700,7750.0,no,
1067,GANGA AT KANPUR U/S (RANIGHAT),26.449923,80.331874,Lucknow,UTTAR PRADESH,25.8,8.6,8.2,316,4.3,2.03,6667,31992.0,no,
1068,AT KANPUR D/S (JAJMAU PUMPING STATION),26.605735,80.269765,Lucknow,UTTAR PRADESH,25.8,6.9,8.0,381,8.4,2.77,38942,151333.0,yes,
1147,GANGA AT DALMAU (RAI BAREILLY),26.068236,81.061666,Lucknow,UTTAR PRADESH,20.7,7.8,7.9,281,3.8,0.85,5300,7775.0,yes,
2498,"GANGA AT KALA KANKAR, RAEBARELI",26.23453,81.240869,Lucknow,UTTAR PRADESH,20.9,7.7,7.8,261,3.8,0.84,4980,7510.0,yes,
1046,AT ALLAHABAD (RASOOLABAD),26.383675,81.869558,Lucknow,UTTAR PRADESH,25.6,7.2,8.0,387,4.2,1.71,3358,7750.0,no,
2487,"GANGA AT KADAGHAT, ALLAHABAD",30.970214,77.105367,Lucknow,UTTAR PRADESH,25.7,7.6,7.9,374,3.6,1.65,2492,4167.0,yes,
1049,AT ALLAHABAD D/S (SANGAM),25.435801,81.846311,Lucknow,UTTAR PRADESH,26.2,7.2,8.0,450,4.0,1.61,3408,8583.0,yes,
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",25.133699,82.564434,Lucknow,UTTAR PRADESH,27.4,8.7,8.0,387,3.7,1.96,332,1995.0,no,
2486,"GANGA D/S, MIRZAPUR",25.133699,82.564434,Lucknow,UTTAR PRADESH,27.1,7.7,7.8,396,3.6,2.29,2377,5708.0,yes,
1070,AT VARANASI U/S (ASSIGHAT),25.317645,82.973914,Lucknow,UTTAR PRADESH,22.3,7.6,7.6,250,3.9,1.71,8000,13000.0,yes,
1071,AT VARANASI D/S (MALVIYA BRIDGE),25.317645,82.973914,Lucknow,UTTAR PRADESH,22.8,7.1,8.0,272,8.0,1.71,40000,58000.0,yes,
1073,GANGA AT TRIGHAT (GHAZIPUR),26.8725184,80.9834952,Lucknow,UTTAR PRADESH,23.8,7.3,8.0,257,4.3,1.71,13000,19667.0,yes,
1074,"GANGA AT BUXAR,BIHAR",26.8725184,80.9834952,Patna,BIHAR,24.4,8.4,8.2,345,2.8,1.71,3122,6867.0,no,
2551,"GANGA AT BUXAR, RAMREKHAGHAT",26.8725184,80.9834952,Patna,BIHAR,23.7,8.4,8.2,357,2.9,1.71,7500,22000.0,no,
1077,"GANGA AT KHURJI, PATNA U/S",25.6331345,85.11292,Patna,BIHAR,25.1,8.4,8.2,327,2.7,1.71,2767,7044.0,no,
2556,"AT INDRAPURI, DEHRI ON SONE",23.2558124,77.460158,Patna,BIHAR,23.2,8.3,7.8,259,2.7,1.71,1188,2338.0,yes,
2564,"AT CONFL. SONE DORIGANJ, CHAPRA",25.7354939,84.83139,Patna,BIHAR,22.3,8.5,7.7,298,2.8,1.71,1922,3933.0,yes,
2552,DARBHANGA GHAT AT PATNA,25.5940947,25.5940947,Patna,BIHAR,24.1,8.4,8.3,334,2.9,1.71,9000,23111.0,no,
1079,AT PATNA D/S (GANGA BRIDGE),25.5940947,25.5940947,Patna,BIHAR,24.4,8.4,8.2,350,2.9,1.71,5667,18778.0,no,
2555,"GANGA AT PUNPUN, PATNA",25.5504086,85.118166,Patna,BIHAR,24.6,7.3,7.8,413,2.7,1.71,1589,3667.0,yes,
2553,GANGA AT FATUHA,25.5110487,85.3084516,Patna,BIHAR,24.6,8.4,8.3,327,2.8,1.71,2675,7313.0,no,
1817,GANGA AT MOKAMA (U/S),25.3961861,85.917677,Patna,BIHAR,25.0,8.0,8.0,375,2.7,1.71,2575,6588.0,no,
1815,GANGA AT MOKAMA (D/S),25.3961861,85.917677,Patna,BIHAR,24.6,7.9,8.0,375,3.0,1.71,7638,22000.0,yes,
1818,GANGA AT MUNGER,25.374756,86.473525,Patna,BIHAR,24.8,7.8,8.0,345,2.7,1.71,2178,4967.0,yes,
2554,"GANGA AT SULTANGANJ, BHAGALPUR",25.2401294,86.7404394,Patna,BIHAR,24.6,7.8,7.9,363,2.7,1.71,1943,3371.0,yes,
1819,GANGA AT BHAGALPUR,25.2401294,86.7404394,Patna,BIHAR,24.9,7.7,7.9,368,2.8,1.71,3686,22743.0,yes,
1816,GANGA AT KAHALGAON,25.2627223,87.2366237,Patna,BIHAR,25.0,7.9,8.0,344,2.8,1.71,5611,11422.0,yes,
1080,GANGA AT BAHARAMPORE ,22.7642,88.29112,Kolkata,WEST BENGAL,26.3,8.3,7.8,294,2.2,0.39,105364,140545.0,yes,
2511,"NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",22.645211,88.335526,Kolkata,WEST BENGAL,26.0,8.5,7.8,290,2.1,0.34,13573,21973.0,yes,
2506,"TRIBENI ON GANGA, NR BURNING GHAT",22.9901287,88.3943282,Kolkata,WEST BENGAL,27.8,8.2,7.9,289,1.7,0.26,3064,4755.0,yes,
1054,GANGA AT PALTA ,22.7858974,88.3712795,Kolkata,WEST BENGAL,27.0,7.7,7.8,287,2.1,0.43,84667,128333.0,yes,
1472,GANGA AT SERAMPORE ,22.748331,88.338505,Kolkata,WEST BENGAL,28.3,7.8,7.9,286,1.9,0.26,66667,97917.0,yes,
1053,GANGA AT DAKSHINESHWAR ,22.6574479,88.3639593,Kolkata,WEST BENGAL,26.9,7.8,7.8,306,4.0,0.30,270333,653083.0,yes,
1471,GANGA AT HOWRAH-SHIVPUR ,22.5682458,88.3196614,Kolkata,WEST BENGAL,27.0,7.3,7.8,301,4.0,0.27,130750,223667.0,yes,
1470,GANGA AT GARDEN REACH ,22.5334555,88.2996293,Kolkata,WEST BENGAL,26.6,6.8,7.8,316,4.1,0.29,164833,247167.0,yes,
1052,GANGA AT ULUBERIA ,22.4744363,88.1000377,Kolkata,WEST BENGAL,27.1,5.9,7.8,326,2.8,0.38,32500,68833.0,yes,
1469,GANGA AT DIAMOND HARBOUR ,22.1987268,88.2022875,Kolkata,WEST BENGAL,26.8,7.1,7.9,3186,2.3,0.34,20333,30667.0,yes,
1492,YAMUNA AT YAMUNOTRI,31.0139859,78.4599554,Dehradun,UTTARAKHAND,6.0,8.4,7.6,74,,0.20,,,yes,
1493,YAMUNA AT HANUMANCHATTI,30.694771,79.514147,Dehradun,UTTARAKHAND,10.1,9.0,7.8,111,4.0,0.20,,,yes,
1494,YAMUNA AT U/S OF LAKHWAR DAM,30.517983,77.948925,Dehradun,UTTARAKHAND,18.8,8.3,7.8,171,0.9,0.06,275,1255.0,yes,
1490,YAMUNA AT U/S DAK PATTHAR,30.4971735,77.8019775,Dehradun,UTTARAKHAND,19.3,7.7,7.8,185,2.7,0.07,4865,4015.0,yes,
1553,"YAMUNA , U/S PAONTA SAHIB",30.445283,77.602056,Shimla,HIMACHAL PRADESH,20.5,8.0,7.6,482,1.1,0.19,1616,11596.0,yes,
1554,"YAMUNA , D/S PAONTA SAHIB",30.445283,77.602056,Shimla,HIMACHAL PRADESH,21.7,8.2,7.8,321,1.1,0.34,10,16.0,yes,
1117,YAMUNA AT HATHNIKUND ,30.3145239,77.5831653,Chandigarh,HARYANA,20.6,9.1,7.8,273,1.4,1.38,31218,133350.0,yes,
1496,"YAMUNA AT KALANAUR,  YAMUNA NAGAR",28.831237,76.39556,Chandigarh,HARYANA,24.7,7.5,7.9,372,1.1,1.38,27020,150630.0,yes,
1119,YAMUNA AT SONEPAT,28.993082,77.015073,Chandigarh,HARYANA,24.5,6.9,7.9,438,2.3,1.38,69933,266611.0,yes,
1120,YAMUNA AT WAZIRABAD,28.7336221,77.2190227,New Delhi,DELHI,24.0,7.8,8.0,594,2.2,1.38,9125,45764.0,no,
1121,YAMUNA AT NIZAMUDDIN,28.5902107,77.2499367,New Delhi,DELHI,23.7,0.8,7.8,1154,15.5,1.38,42000000,250000000.0,yes,
1375,YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL),28.5623948,77.2916728,New Delhi,DELHI,23.7,0.5,7.8,969,13.0,1.38,110000000,190000000.0,yes,
1497,YAMUNA AT MAZAWALI,27.5863838,77.7004931,Lucknow,UTTAR PRADESH,26.1,1.6,7.5,991,14.5,1.38,3283222,25000000.0,yes,
2495,"YAMUNA AT KESIGHAT, VRINDAVAN",27.5863838,77.7004931,Lucknow,UTTAR PRADESH,13.0,2.1,6.9,,14.4,1.38,21000,70000.0,yes,
1123,YAMUNA AT MATHURA U/S,27.4924134,77.673673,Lucknow,UTTAR PRADESH,28.1,3.8,7.7,,11.4,1.38,718000,5877333.0,yes,
2494,"YAMUNA AT VISHRAMGHAT, MATHURA",27.5043035,77.6870131,Lucknow,UTTAR PRADESH,13.0,0.8,7.0,,15.4,1.38,37000,70000.0,yes,
1124,YAMUNA AT MATHURA D/S,27.4924134,77.673673,Lucknow,UTTAR PRADESH,27.6,4.8,7.8,1058,8.8,1.38,2374000,14000000.0,yes,
1125,YAMUNA AT AGRA U/S,27.1766701,78.0080745,Lucknow,UTTAR PRADESH,26.0,4.3,7.8,1070,7.0,1.38,284900,694300.0,yes,
1126,YAMUNA AT D/S OF AGRA,27.1766701,78.0080745,Lucknow,UTTAR PRADESH,28.4,3.1,7.9,1142,11.0,1.38,6380100,23000000.0,yes,
2493,RIVER YAMUNA AT SHAHPUR,26.7709618,83.3909575,Lucknow,UTTAR PRADESH,15.0,3.8,7.3,193,11.8,1.38,37000,38000.0,yes,
1498,YAMUNA AT BATESWAR,26.9350608,78.5420306,Lucknow,UTTAR PRADESH,28.1,6.9,8.0,1126,8.5,1.38,223780,753800.0,no,
1127,YAMUNA AT ETAWAH,26.8117116,79.0046898,Lucknow,UTTAR PRADESH,27.7,8.8,8.2,1061,8.1,1.38,99030,298200.0,no,
1499,"YAMUNA AT JUHIKA B/C WITH CHANBAL, ETAWAH",26.8117116,79.0046898,Lucknow,UTTAR PRADESH,27.2,9.7,8.2,744,4.2,1.38,137630,417900.0,no,
1129,YAMUNA AT ALLAHABAD,25.4358011,81.846311,Lucknow,UTTAR PRADESH,21.9,7.4,7.5,433,2.6,1.39,3195,13416.0,yes,
1069,YAMUNA AT ALLAHABAD D/S (BALUA GHAT),25.4358011,81.846311,Lucknow,UTTAR PRADESH,26.7,6.5,7.9,610,2.5,1.33,1450,2833.0,yes,
2724,"SUSWA RIVER AT MOTHRAWALA, DEHRADUN",30.2617154,78.0338077,Dehradun,UTTARAKHAND,24.6,3.9,7.5,733,23.0,0.70,145000,112033.0,yes,
2728,GOLA RIVER AT HALDWANI,29.2182644,79.5129766,Dehradun,UTTARAKHAND,13.5,9.1,7.5,255,2.1,,,,yes,
1064,RAMGANGA AT KANNAUJ (BEFORE CONF.),27.0514156,79.913673,Lucknow,UTTAR PRADESH,25.7,7.1,7.8,430,5.9,3.79,2992,11775.0,yes,
2497,"KALINADI (EAST) AT KHARKHODA-PARIKSHIT GARH RD, VILL. KOL, MEERUT",27.051099,79.913404,Lucknow,UTTAR PRADESH,21.8,,7.6,1733,86.0,5.52,260000,329167.0,yes,
1480,KALINADI (EAST) AT U/S OF GULAOTHI TOWN IN BULANDSAHAR,28.5902291,77.7936081,Lucknow,UTTAR PRADESH,,,7.6,1532,100.0,0.70,230000000,550000000.0,yes,
1065,KALINADI (EAST) AT KANNAUJ (BEFORE CONF.),27.0514156,79.913673,Lucknow,UTTAR PRADESH,25.6,6.6,7.9,406,7.0,3.72,3567,20842.0,yes,
2482,"VARUNA AT RAMESHWAR, VARANASI",25.385014,82.853966,Lucknow,UTTAR PRADESH,22.8,7.5,7.8,252,4.1,,10500,15500.0,yes,
2483,VARUNA B/C WITH RIVER GANGA AT VARANASI,25.385014,82.853966,Lucknow,UTTAR PRADESH,22.8,5.5,8.4,287,23.0,,74500,102000.0,no,
1361,SAI AT UNNAO AFTER DRAIN OUTFALL,26.5393449,80.4878195,Lucknow,UTTAR PRADESH,23.8,8.8,7.9,399,2.7,1.70,1093,2708.0,yes,
2484,"SAI AT JALALPUR, JAUNPUR",25.8080177,82.6145761,Lucknow,UTTAR PRADESH,23.0,7.4,7.7,246,4.1,,11000,14000.0,yes,
1350,GOMTI AT SITAPUR U/S AT WATER INTAKE,27.5839037,80.6663559,Lucknow,UTTAR PRADESH,25.0,8.5,7.9,355,3.1,1.47,444,1560.0,yes,
1351,GOMTI AT LUCKNOW U/S AT WATER INTAKE POINT,26.8466937,80.9461659,Lucknow,UTTAR PRADESH,27.8,7.9,7.9,355,3.6,1.71,1560,2950.0,yes,
1352,GOMTI AT LUCKNOW D/S,26.8466937,80.9461659,Lucknow,UTTAR PRADESH,27.8,3.6,7.4,427,7.5,3.74,70800,103367.0,yes,
